"Id","ChannelUrl","Status","Name","Area","Company","Group","ChannelName","Thumbnail","CreateTime","IsGreen"
"5113","https://www.youtube.com/channel/UCScnwd670CaNG_OlRr3EvJA","NotActivity","花崎あやめ","MO","","","Ayame Ch. 花崎あやめ","https://yt3.googleusercontent.com/jQbcfsG394wNefQN4aKHT6fMCFdqyj_d0IN7A5goT3ToET-58gV66J1gfPDLhhd7pGX5JfPEIw=s176-c-k-c0x00ffffff-no-rj","2023-01-09 03:01:01","False"
"5114","https://www.youtube.com/channel/UC0ZJlh9QXIKLJm-5yueibNw","NotActivity","泉夕也","TW","","","泉夕也 Ch. IzumiYuuya","https://yt3.googleusercontent.com/oUNTuU7EhPK5qVaIOTPZNUpiySjHYXBHLxSFzWibg1HJb-37z3XYNgKsaKJ0vCCURY5J-DkS=s176-c-k-c0x00ffffff-no-rj","2023-01-16 03:01:01","False"
"5115","https://www.youtube.com/channel/UC9fN-5BAXljNjXmGbAyRZTQ","NotActivity","霍矢敋","TW","","","Horsker Ch. 霍矢敋","https://yt3.googleusercontent.com/yBImWwr2Q3DvjSN6yEVyxEtBNtGAcCk8OcsJ8B_UwJ8elqs5jNKcU_n8SAtsiGKTq5LHaeWtqA=s176-c-k-c0x00ffffff-no-rj","2023-01-30 03:01:01","False"
"5116","https://www.youtube.com/channel/UC0l8tyYfC-SQIsnDWyEGLxA","NotActivity","採墨","TW","","","採墨 - Chatmur Talk","https://yt3.googleusercontent.com/CNYIwldjL9v97dREJ0zsS_spOD9-1pHEUElhsTdLaSh79NXtc0E8PxuT4p5DxpLyfLStPHm6rQ=s176-c-k-c0x00ffffff-no-rj","2023-02-13 03:01:01","False"
"5117","https://www.youtube.com/channel/UC7g6gwBDn-lH4PC_8le7GxA","Activity","粉米","TW","","","Famy ch. 粉米 個人勢通靈系Vtuber","https://yt3.googleusercontent.com/c4FITsV38izVEVao8oIJICMCfxn7v0M6Ja-nW8xJPs2yV10QAEASH51xf5be2bb8-FREuEpUMw=s176-c-k-c0x00ffffff-no-rj","2023-04-10 03:01:01","False"
"5118","https://www.youtube.com/channel/UC1G16SF3I8oi1IKguC_9LgQ","NotActivity","花見白霖","TW","","","花見白霖@Hanami_Hakurin ch.","https://yt3.googleusercontent.com/Ehn1VFCJZIz0osF7jCd-u4qganftVpRxXNJA9uGSOVJ5RthswfA2JgZUqoOUtMVwWnwD4vqM=s176-c-k-c0x00ffffff-no-rj","2023-01-09 03:01:01","False"
"5119","https://www.youtube.com/channel/UC3z3JheDfMMuIAs4lgnlQNw","NotActivity","米樂Millet","TW","","","米樂 Millet_Ch","https://yt3.googleusercontent.com/BaMCAUBKonVgzWfBsXChFsavgi_4NmyHw8xBL2UbH5ELVXeHY_WDTWFeR-XNl_dXjTGxhIC19g=s176-c-k-c0x00ffffff-no-rj","2023-01-30 03:01:01","False"
"5120","https://www.youtube.com/channel/UCCzg4r2zJAdM-D1sNswWjUg","NotActivity","慕沫柯 夏可尼拉","TW","","","慕沫柯 夏可尼拉 Mumoko Shaconila【BYO-2126】","https://yt3.googleusercontent.com/hzSsuLAoxgyZTVeyEKgNDby3Rlsfyb0wb7FDKMZ-cEIiEDPxOltgWgPusrFHJcz2X02HRa-7Gw=s176-c-k-c0x00ffffff-no-rj","2023-02-06 03:01:01","False"
"5121","https://www.youtube.com/channel/UCyj8fnQ9v2Kd8YF2fhZx3dg","NotActivity","楓月 蝕","TW","","","楓月 蝕","https://yt3.googleusercontent.com/EIQboVI7an4JBazZXgIoHM954S6RNl1DtS6uGKOeXrD4KEeXTfFuBXhC_JsFEVG26pCq52ajVA=s176-c-k-c0x00ffffff-no-rj","2023-03-06 03:01:01","False"
"5122","https://www.youtube.com/channel/UCBtpVCz2PrJtHWxkLRRY2kw","Activity","龍神響","TW","","","Ryujin Hibiki Ch. 龍神響","https://yt3.googleusercontent.com/aIqSyI55SZYTQh6LLf0Gf_aEgyAcG35i3foKWr2EEs4IyrnpzXEgNC5YcCu1dCGVJDtk7sCG7Q=s176-c-k-c0x00ffffff-no-rj","2023-01-23 03:01:01","False"
