"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","HighestSingingViewCountDay7","HighestViewSingingVideoUrlDay7","HighestViewSingingVideoTitleDay7","HighestViewSingingVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30","HighestSingingViewCountDay30","HighestViewSingingVideoUrlDay30","HighestViewSingingVideoTitleDay30","HighestViewSingingVideoThumbnailDay30"
"4","https://www.youtube.com/channel/UCy3tjbhbQKeAExF6_qGZwyg","柴可","2230","57693","174","213","http://youtu.be/obAugjnRENc","[#unlight ]UNLIGHT十年惹!!!雖然穢土轉生很多次!但依舊是有生之年系列!!來看柴可當暴骰王[柴可CHAKO]#2023VtuberFestivalTW","https://i.ytimg.com/vi/obAugjnRENc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvAbPUTe2CG1m_wOoipxBXgzFHRw","0","","","","193","342","http://youtu.be/__-DZsQpHPE","一起來看看女孩子的衣櫥ㄅ/陪柴可整理舊衣服/手手露出注意！！","https://i.ytimg.com/vi/__-DZsQpHPE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4PS0jkijTUQXxurs7z04GmM3T4A","0","","",""
"5","https://www.youtube.com/channel/UCSnJ7To9jR42Xx3Puf1Ar6Q","Ness9s奈斯糖","10300","371656","547","810","http://youtu.be/PYjyCzT1ZlQ","【重大告知】沒有達到目標就畢業！｜Ness9s奈斯糖","https://i.ytimg.com/vi/PYjyCzT1ZlQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDrfNbWKSo_vnM1O3o_DE6ho7ZpxQ","0","","","","431","2318","http://youtu.be/k8crlmJ3ibk","《AI諾娃-機娘育成方程式2》🔞現在連AI都可以做愛做的事了？！｜Ness9s奈斯糖","https://i.ytimg.com/vi/k8crlmJ3ibk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCadgvZfLufm_lOn826I8eemcEsvw","0","","",""
"11","https://www.youtube.com/channel/UCugedmKaBpXqBauc3Lu0oYw","柚香","646","6474","0","0","","","","0","","","","93","124","http://youtu.be/vKfFC6yMqjc","震驚!!!鬼轉阿矇餓死【柚香ゆずか/台灣Vtuber】","https://i.ytimg.com/vi/vKfFC6yMqjc/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhWIFsoZTAP&rs=AOn4CLBzxuW5OP7hkJYnAnC4gOS6HUCxJA","0","","",""
"12","https://www.youtube.com/channel/UCYCUGetz4k-JpnQ8mtSQheA","諾海","3600","14282","0","0","","","","0","","","","218","456","http://youtu.be/ug2ZH3IZkxg","我不保證好看、不保證舒服，但我保證一定夠長?【狼神諾海｜織圍巾】","https://i.ytimg.com/vi/ug2ZH3IZkxg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdci7piVANZmttIo9P8SEwJxf9zA","0","","",""
"16","https://www.youtube.com/channel/UC9aEDaPpjShpsKN84fuWd6Q","荻諾斯","1650","31912","78","78","http://youtu.be/ekM_bixhRFY","【兒童節震撼登場！|| #恐龍歷險記】兒童節就是要跟兒童一起過節阿！【荻諾斯】","https://i.ytimg.com/vi/ekM_bixhRFY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmicY578_gxn83zUJceVcaPlMU-A","0","","","","61","174","http://youtu.be/SlVRs6-MOSk","【日本語注意】【兄弟台...詞..回 || #恐龍歷險記】結果還是變成兄弟台【荻諾斯 & 一星一笑】","https://i.ytimg.com/vi/SlVRs6-MOSk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAwHYgr64VSZZvOwrOXcw6c_qKVoA","0","","",""
"21","https://www.youtube.com/channel/UCGQ0452yHwnPsHTpcbdU0ow","椎南月白","3960","56521","102","107","http://youtu.be/lT1ZNXMSf-E","【SC2】今日星海已結束 換遊戲休息一下【椎南月白/ShinaTsukishiro】","https://i.ytimg.com/vi/lT1ZNXMSf-E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA84i6uWDjCcEVg49Rz6RsGp7xOPg","0","","","","103","269","http://youtu.be/_rObVvb-eUM","【Destiny 2】全新Raid:夢魘根源 首日尾王【椎南月白/ShinaTsukishiro】","https://i.ytimg.com/vi/_rObVvb-eUM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFTyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDZCjLKQZuc11AEhGaRhYoP7nIo1g","0","","",""
"26","https://www.youtube.com/channel/UCjv4bfP_67WLuPheS-Z8Ekg","浠","166000","22584125","7036","17151","http://youtu.be/_AlHk2t_ng0","【バンドソング歌枠】超熱血樂團歌回搖起來🤘初見さん大歓迎🎤【浠Mizuki Karaoke】","https://i.ytimg.com/vi/_AlHk2t_ng0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPKWsVBmAKtAAThlutTsPcyZafYQ","17151","http://youtu.be/_AlHk2t_ng0","【バンドソング歌枠】超熱血樂團歌回搖起來🤘初見さん大歓迎🎤【浠Mizuki Karaoke】","https://i.ytimg.com/vi/_AlHk2t_ng0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPKWsVBmAKtAAThlutTsPcyZafYQ","11520","51952","http://youtu.be/a1a3nzZNB2k","進來叫姐姐...。【浠Mizuki ASMR新設備測試】耳語/掏耳朵/舔耳/心音","https://i.ytimg.com/vi/a1a3nzZNB2k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCjH_zqiHqYq6AFgYtswbU2_qEyug","23220","http://youtu.be/12xxyomq2S0","【睡眠導入歌枠】唱一些舒眠的歌🎵初見さん大歓迎🎤【浠Mizuki Night Karaoke】","https://i.ytimg.com/vi/12xxyomq2S0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAF_aGcFig1HDYv5pzRJSwF1gVQw"
"39","https://www.youtube.com/channel/UCIEnuJ196SambhqjkwmYxYw","村下緋雨","1620","62247","63","64","http://youtu.be/hUwEBYs6KNg","雜談-我的NS遊戲片包弄丟了 #村下緋雨 #雜談","https://i.ytimg.com/vi/hUwEBYs6KNg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo7oJ1VfoyOBo4qLuEm4NrxserOw","0","","","","64","217","http://youtu.be/EMFvtmjOyp0","如果你想換耳膜... #村下緋雨 #直播精華 #outlast #絕命精神病院","https://i.ytimg.com/vi/EMFvtmjOyp0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCAcG-KLxxkjSrtrXK9tsgxiP1PZA","0","","",""
"43","https://www.youtube.com/channel/UCKe1Q0YIwT-hzrZs_uxGb2g","稻乙緹","33900","1380907","8590","28972","http://youtu.be/GEJtRUzBj08","我真的沒有喝醉","https://i.ytimg.com/vi/GEJtRUzBj08/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBeeoOCqjg2OJlDCJSU32P9ra3MYA","0","","","","8715","65567","http://youtu.be/rxjUdwGxRcE","派對咖乙緹 feat.六希夫 | 吃了我就在你肚子蹦迪！","https://i.ytimg.com/vi/rxjUdwGxRcE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUeziKOOrM5jITcRB87rIkrZPHeA","0","","",""
"44","https://www.youtube.com/channel/UCltL6Tvv1aKrrYt4tnkmNtw","帕豹","12300","468305","1289","1477","http://youtu.be/_MNrLmU1zv8","【兒童節】真正的豹寶來了! ㄏ還是歌回","https://i.ytimg.com/vi/_MNrLmU1zv8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUJ_lVFa5aARF4CtoTXYDEv3u7JA","1477","http://youtu.be/_MNrLmU1zv8","【兒童節】真正的豹寶來了! ㄏ還是歌回","https://i.ytimg.com/vi/_MNrLmU1zv8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUJ_lVFa5aARF4CtoTXYDEv3u7JA","1393","1945","http://youtu.be/lzZxEdtFgwc","【深夜突擊】唱歌~陪陪你們~好久沒開深夜!!!","https://i.ytimg.com/vi/lzZxEdtFgwc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEvn03tdfEFo6hKw9yNdscRrPLDQ","1477","http://youtu.be/_MNrLmU1zv8","【兒童節】真正的豹寶來了! ㄏ還是歌回","https://i.ytimg.com/vi/_MNrLmU1zv8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUJ_lVFa5aARF4CtoTXYDEv3u7JA"
