"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30"
"1560","https://www.youtube.com/channel/UCODNLyn3L83wEmC0DLL0cxA","朝ノ姉妹ぷろじぇくと","183000","28710696","4143","4143","http://youtu.be/fLnZp9xkTo0","【初見歓迎/雑談】時には昔の話をしようか【 #朝ノ瑠璃 】","https://i.ytimg.com/vi/fLnZp9xkTo0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3ZgNv1zKBRRWGVAEtlIA_YRIBsw","7361","9581","http://youtu.be/gYCJt-8cj7E","【歌枠】えぇ！？こんな時間に歌枠を？！","https://i.ytimg.com/vi/gYCJt-8cj7E/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCksyfvKc10jKtTAnWFJE5NqBQn1A"
"1561","https://www.youtube.com/channel/UCllKI7VjyANuS1RXatizfLQ","山神歌流多","183000","16963033","21607","23135","http://youtu.be/Qj4tnV8GgnU","【お昼】おひるごはん食べながらおはなししよ！【にじさんじ/山神カルタ】","https://i.ytimg.com/vi/Qj4tnV8GgnU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCP-QFspG8PwKl7Hxq5IKjxkbVGYA","17417","102167","http://youtu.be/LdROoEO48UI","【#山神新衣装】たまにはかっこいいとこも見せたいじゃん【にじさんじ/山神カルタ】","https://i.ytimg.com/vi/LdROoEO48UI/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlAwo-rgzucw9hJH_Hc2D2vZRGdg"
"1562","https://www.youtube.com/channel/UCZgOv3YDEs-ZnZWDYVwJdmA","奏手一弦","183000","8617330","0","0","","","","6676","49839","http://youtu.be/MLFUFPB933M","【3D】3rd Anniversary【#奏手イヅル3周年 /ホロスターズ】","https://i.ytimg.com/vi/MLFUFPB933M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYF7qhDp2um4kZSUkHCBWVS-Rv4g"
"1563","https://www.youtube.com/channel/UCmgWMQkenFc72QnYkdxdoKA","ピーナッツくん","184000","38580680","62624","62624","http://youtu.be/OUvBCxj6a_w","【告白枠】ピーナッツくんの誕生日にみんなでサプライズで告白しよう！","https://i.ytimg.com/vi/OUvBCxj6a_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYiPy5eDvWt9HyLyDmoOYuGfxXiQ","62624","62624","http://youtu.be/OUvBCxj6a_w","【告白枠】ピーナッツくんの誕生日にみんなでサプライズで告白しよう！","https://i.ytimg.com/vi/OUvBCxj6a_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYiPy5eDvWt9HyLyDmoOYuGfxXiQ"
"1564","https://www.youtube.com/channel/UCRcLAVTbmx2-iNcXSsupdNA","來棲夏芽","178000","12786667","9550","9550","http://youtu.be/QQeyCeHAdoc","それゆけ！　アグロ雑談！！【 来栖夏芽/にじさんじ】","https://i.ytimg.com/vi/QQeyCeHAdoc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1WHZhbXxf1qCuUpVEvcHfGZZ1Yg","17795","34329","http://youtu.be/qnSqySTkFeU","やっと言えるときがきた！！！！！！【 来栖夏芽/にじさんじ】","https://i.ytimg.com/vi/qnSqySTkFeU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCdXs_u4sqE6trjbF7tUzOY_Qy1Ww"
"1565","https://www.youtube.com/channel/UCpNH2Zk2gw3JBjWAKSyZcQQ","艾莉·柯妮法","179000","12441445","51407","65740","http://youtu.be/1LHvbel-j9Q","【#マイクラ】ゲリラ！マイクラ！＃にじさんじサマープール 【#エリーコニファー/#にじさんじ】#minecraft","https://i.ytimg.com/vi/1LHvbel-j9Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwklTyqSPI-CCocDzppKkSfAWeWA","37075","65740","http://youtu.be/1LHvbel-j9Q","【#マイクラ】ゲリラ！マイクラ！＃にじさんじサマープール 【#エリーコニファー/#にじさんじ】#minecraft","https://i.ytimg.com/vi/1LHvbel-j9Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCwklTyqSPI-CCocDzppKkSfAWeWA"
"1566","https://www.youtube.com/channel/UCV9WL7sW6_KjanYkUUaIDfQ","GOSEGU","181000","50133330","147317","163240","http://youtu.be/ReFRLOPesvw","불쾌한 골짜기","https://i.ytimg.com/vi/ReFRLOPesvw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAq0EIXFRSjY6JD3mNR6NIj9AzMiw","163635","453639","http://youtu.be/o0pbZIMxwHk","언니들한테 더빙해달라고 했더니ㅋㅋㅋ (feat.아이네, 주르르)","https://i.ytimg.com/vi/o0pbZIMxwHk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBjZF8BV_k_LwVQCjcGCcpS1lAK7Q"
"1567","https://www.youtube.com/channel/UClzpoRto1BJXaRGe9OkkGLQ","ビートまりお / COOL&CREATE","179000","32727631","18019","24139","http://youtu.be/v8hPyJ5TPjA","【プロセカ】魔境ランクマ初挑戦！ぼくらの16bit戦争を生き抜いて絶対に勝つ！！！【ビートまりお/プロジェクトセカイ】","https://i.ytimg.com/vi/v8hPyJ5TPjA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCRwrUEh5Mpi8MWYAUwkqv1s9_uQ","21731","28306","http://youtu.be/4JuWU6gY3sw","【プロセカ】絶対フルコン！初音ミクの消失！耐久やるしかねえ～～！！【ビートまりお/プロジェクトセカイ】","https://i.ytimg.com/vi/4JuWU6gY3sw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBVjhPSRlsXp6UHzzQ1NNOtIogDyg"
"1568","https://www.youtube.com/channel/UCHz3PeU1RRcY9vJDSqsigIA","Liliana Vampaia Channel 吸血鬼 リリアナ","180000","4508869","8659","8878","http://youtu.be/3OA7KXLxWjw","[Whispering ASMR] Spending My Last Night With You (EN)【MyHolo TV】","https://i.ytimg.com/vi/3OA7KXLxWjw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDx7N6MED0TfEo3T_FS0OLTV513QQ","13929","113841","http://youtu.be/OE9T9_Ot6lc","[Pacify] Jangan Gaduh Lah  @Kobo Kanaeru Ch. hololive-ID  (MY/ID)【MyHolo TV】","https://i.ytimg.com/vi/OE9T9_Ot6lc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBNlMBienTtr1s4ZPvJlFtpaRyYng"
"1570","https://www.youtube.com/channel/UCXOLqHsi_mxJdTIqU7B6OmQ","천양","176000","144728473","3549","9594","http://youtu.be/HiLXC6TWE2k","[우왁굳님 반응] 전하지 못한 진심 - (해루석,릴파,아이네,비챤) COVER","https://i.ytimg.com/vi/HiLXC6TWE2k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmgKL8MtbKpwi23A6cy--TMOA3vA","5071","9594","http://youtu.be/HiLXC6TWE2k","[우왁굳님 반응] 전하지 못한 진심 - (해루석,릴파,아이네,비챤) COVER","https://i.ytimg.com/vi/HiLXC6TWE2k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmgKL8MtbKpwi23A6cy--TMOA3vA"
