"Id","ChannelUrl","Name","SubscriberCount","ViewCount","MedianViewCountDay7","HighestViewCountDay7","HighestViewVideoUrlDay7","HighestViewVideoTitleDay7","HighestViewVideoThumbnailDay7","HighestSingingViewCountDay7","HighestViewSingingVideoUrlDay7","HighestViewSingingVideoTitleDay7","HighestViewSingingVideoThumbnailDay7","MedianViewCountDay30","HighestViewCountDay30","HighestViewVideoUrlDay30","HighestViewVideoTitleDay30","HighestViewVideoThumbnailDay30","HighestSingingViewCountDay30","HighestViewSingingVideoUrlDay30","HighestViewSingingVideoTitleDay30","HighestViewSingingVideoThumbnailDay30"
"1","https://www.youtube.com/channel/UCQIBc6-tniGo9h9l4XnEJ1A","舞鎌冬","1720","48338","148","215","http://youtu.be/L44qgUO7-_w","【突發】繪圖台|半夜不知道要做什麼就來畫畫現在最辣的辣個女人，汪汪","https://i.ytimg.com/vi/L44qgUO7-_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmN2INFNS-SGenXAFQ1MWPiXQ0Aw","0","","","","151","215","http://youtu.be/L44qgUO7-_w","【突發】繪圖台|半夜不知道要做什麼就來畫畫現在最辣的辣個女人，汪汪","https://i.ytimg.com/vi/L44qgUO7-_w/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCmN2INFNS-SGenXAFQ1MWPiXQ0Aw","191","http://youtu.be/1_-_oD5ujM4","【歌雜】雜一雜怎麼就變歌回了","https://i.ytimg.com/vi/1_-_oD5ujM4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAr4l2yzBYBJfqcGNB-iZrp1WAFdA"
"4","https://www.youtube.com/channel/UCy3tjbhbQKeAExF6_qGZwyg","柴可","1510","39288","124","160","http://youtu.be/3mrSvdAV9gw","[#葛飾北柴]貼圖雖然會遲到，但絕不缺席，今天來爆肝FAFA/歡迎提供貼圖意見/第一次用IPAD畫面分享!![柴可CHAKO]","https://i.ytimg.com/vi/3mrSvdAV9gw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAfkYn1yQW20F53WYWTkdnSfWnstA","0","","","","155","442","http://youtu.be/0p54avy1K-c","[#一週年 ]今天是一周年慶祝大會!!!!/凸待初體驗/講講感言/酒精BUFF(?)/耐久[柴可CHAKO]","https://i.ytimg.com/vi/0p54avy1K-c/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDR-UnXM1eSUi1ELQYVIHVgb-1i1g","0","","",""
"5","https://www.youtube.com/channel/UCSnJ7To9jR42Xx3Puf1Ar6Q","Ness9s奈斯糖","9770","345450","327","938","http://youtu.be/ZWX3jTNE-7o","フクロウ～フクロウが知らせる客が来たと～ (KOKIA) ｜Ness9s奈斯糖 COVER","https://i.ytimg.com/vi/ZWX3jTNE-7o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfsEFJ_SjGJQfIhFVWtOZs-G0E2g","0","","","","275","938","http://youtu.be/ZWX3jTNE-7o","フクロウ～フクロウが知らせる客が来たと～ (KOKIA) ｜Ness9s奈斯糖 COVER","https://i.ytimg.com/vi/ZWX3jTNE-7o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBfsEFJ_SjGJQfIhFVWtOZs-G0E2g","407","http://youtu.be/blkPUmadc9I","Aimer練習歌回🎙來練練還不怎麼熟的歌吧✨下大雨中QQ｜Ness9s奈斯糖","https://i.ytimg.com/vi/blkPUmadc9I/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBvhBlL54OQd3LnvCeEHizVO5gCKw"
"7","https://www.youtube.com/channel/UClP316u-YpB3cbC2EZnFPSA","町田悠律","81","1483","0","0","","","","0","","","","26","35","http://youtu.be/EmmTfTHK3QE","Apex 中bug啦!!!","https://i.ytimg.com/vi/EmmTfTHK3QE/hqdefault.jpg?sqp=-oaymwE2CNACELwBSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARg2IFkoZTAP&rs=AOn4CLDupOLDGq_3DluUAUXXxv_0ChdmIg","0","","",""
"8","https://www.youtube.com/channel/UCAZ6zbMz0DzJG4uTs9SOTog","飛鳥唯世","10800","224443","561","1125","http://youtu.be/ol6Q7N3hwSE","【Minecraft】紅石菜雞也來學怎麼蓋自動甘蔗機！「伊甸飲酒」【 飛鳥唯世 】","https://i.ytimg.com/vi/ol6Q7N3hwSE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCoRFcNMCUqPbLz77ysa8WLaH7yFA","0","","","","597","4423","http://youtu.be/wMlsty_p7oU","【 2.0初配信 】讓我們忘記過去那個沒用的小編吧！2.0新衣裝參上～【飛鳥唯世 】","https://i.ytimg.com/vi/wMlsty_p7oU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBe5Fp2IrR6Bs5CwuulRTGP2ReVRg","0","","",""
"11","https://www.youtube.com/channel/UCugedmKaBpXqBauc3Lu0oYw","柚香","625","6035","0","0","","","","0","","","","128","134","http://youtu.be/hMtiPFouz_A","【生日直播】觀眾凸待!!!【柚香ゆずか/台灣Vtuber 】","https://i.ytimg.com/vi/hMtiPFouz_A/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB29_2xmm04wdycj1qkshKHN2jEGA","0","","",""
"12","https://www.youtube.com/channel/UCYCUGetz4k-JpnQ8mtSQheA","諾海","3390","104254","247","831","http://youtu.be/a0XYNcr1f_o","瑟狼們 對不起我睡著了 我是真的有想你們的 【狼神諾海｜突發】","https://i.ytimg.com/vi/a0XYNcr1f_o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6PixP57XCenhoxfmgCe2kUOVJbw","0","","","","310","831","http://youtu.be/a0XYNcr1f_o","瑟狼們 對不起我睡著了 我是真的有想你們的 【狼神諾海｜突發】","https://i.ytimg.com/vi/a0XYNcr1f_o/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6PixP57XCenhoxfmgCe2kUOVJbw","427","http://youtu.be/Cy5L2eV0OxY","會唱的歌不多 唱的好的歌更沒有 但是我還是來還願了【狼神諾海｜歌回】","https://i.ytimg.com/vi/Cy5L2eV0OxY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC4-SH5CwAG-dRrIkBL3NKpRIJ8Dw"
"13","https://www.youtube.com/channel/UC03CZicbB2_5jgfk9nQDitw","咲荈","557","14161","0","0","","","","0","","","","264","1469","http://youtu.be/okaLhQSJCfY","【#meme】這次是真的了對吧!!!","https://i.ytimg.com/vi/okaLhQSJCfY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCycLfsSLJSiKZe81cUDuwvd_a2FA","0","","",""
"15","https://www.youtube.com/channel/UCRjr-pImfTwH3vDACscMOTg","夏月狼牙","180","1545","13","22","http://youtu.be/eBDbzvSTJbQ","要汪汪叫的APEX #夏月狼牙","https://i.ytimg.com/vi/eBDbzvSTJbQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBTQyalDQI5uJPUDSIe8amj5cesmA","0","","","","22","69","http://youtu.be/acVVzNs8wwE","假貨相遇記#2 假硬碟見真章","https://i.ytimg.com/vi/acVVzNs8wwE/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtxjHYlcHosd4WKfcmAsTNElX-Dw","0","","",""
"16","https://www.youtube.com/channel/UC9aEDaPpjShpsKN84fuWd6Q","荻諾斯","1640","30294","94","94","http://youtu.be/FY2ZAwMYFTM","【深夜歌回 || #恐龍歷險記】回歸歌回陪大家睡覺【荻諾斯】","https://i.ytimg.com/vi/FY2ZAwMYFTM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArscrqKD76TQuwsNUNC3vXbiNbzg","94","http://youtu.be/FY2ZAwMYFTM","【深夜歌回 || #恐龍歷險記】回歸歌回陪大家睡覺【荻諾斯】","https://i.ytimg.com/vi/FY2ZAwMYFTM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArscrqKD76TQuwsNUNC3vXbiNbzg","62","94","http://youtu.be/FY2ZAwMYFTM","【深夜歌回 || #恐龍歷險記】回歸歌回陪大家睡覺【荻諾斯】","https://i.ytimg.com/vi/FY2ZAwMYFTM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArscrqKD76TQuwsNUNC3vXbiNbzg","94","http://youtu.be/FY2ZAwMYFTM","【深夜歌回 || #恐龍歷險記】回歸歌回陪大家睡覺【荻諾斯】","https://i.ytimg.com/vi/FY2ZAwMYFTM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLArscrqKD76TQuwsNUNC3vXbiNbzg"
